id,name,followers,popularity,genre
3Rj0tDHoX7C5NFq5DKIpHt,stereolab,404375,53,rock
6V61xKjFeKyRl9FAgKtKYS,denis o'hare,309,27,classical
1KsASRNugxU85T0u6zSg32,tori amos,867265,56,folk
4aP1lp10BRYZO658B2NwkG,andrew lloyd webber,366629,66,classical
1NmZWNk3idvlh1wKjZOvnt,griffin house,43002,37,folk
0uivLRza0HzARDrgQJrQbo,daniel perry,575,3,hip-hop
7aYiB2gpYBCnjDlbCXw0fU,80's robot,149,0,classical
2gINJ8xw86xawPyGvx1bla,krs-one,741074,53,hip-hop
5skyG64028a3FaeFYvT3mE,orchestra sinfonica di milano giuseppe verdi,2544,38,classical
6xaWtqqTo013vreTMQxeNj,swashbuckle,12237,17,folk
5oHsvGm0QRPixkJtNj4bD3,phazer,223,3,electronic
1csBgT42N4pPPs1HJhxXIK,thomas newman,282049,62,classical
57KuZVjVTRT9zWYYGb1dxT,la la,1862,23,pop
6U26vGPwnCQcNDr9Dpj0Y0,karate,38281,31,rock
3ImqpXKKgkH5VydfgX1hd4,say anything,314737,50,pop
6rJqqRce0Kvo2dJUXoHleC,alabama,1682413,67,country
07cGsRL23DtuPJnawMKACY,happyalone.,4827,23,rock
2F9wlqbFp62pIdVrjnhdZi,thomas quasthoff,12006,34,folk
62elZbH5Iop8UPcChp7OrU,can't swim,81408,39,pop
4UXqAaa6dQYAk18Lv7PEgX,fall out boy,11518757,81,rock
0c86qGuVZWOdEl7Wdr6g4f,ted winn,12788,28,hip-hop
3Zl0EsuYV23OgNw6WqGelN,momoiro clover z,228253,49,pop
4oV5EVJ0XFWsJKoOvdRPvl,guided by voices,193016,47,pop
1qqZKSFPWKwT4Rtcu5zc8h,charlie chaplin,6165,31,folk
2s0438sn0pYL2OuukcFqPN,kid koala,118187,48,hip-hop
5me0Irg2ANcsgc93uaYrpb,the notorious b.i.g.,13030963,79,hip-hop
4pU3BpenOZFEBzORx2YBJW,plácido domingo,228494,56,classical
7w0qj2HiAPIeUcoPogvOZ6,rachael yamagata,174393,46,folk
65iXZl2W8M8616GC3jfeeH,frog eyes,7402,6,rock
2mxe0TnaNL039ysAj51xPQ,r. kelly,2502309,69,r&b
3koiLjNrgRTNbOwViDipeA,marvin gaye,6058443,75,r&b
4pejUc4iciQfgdX6OKulQn,queens of the stone age,3872913,72,rock
1qh6ppVtiFTKMyta0NXsjf,madball,191547,43,electronic
591yCCsZCLXvaJ0Rg38vLZ,senses fail,496327,55,rock
1Ffb6ejR6Fe5IamqA5oRUF,bring me the horizon,6720260,79,rock
55b0Gfm53udtGBs8mmNXrH,norma jean,213838,45,rock
5fuQrhMRYMtoO9uOlFad4P,the fall of troy,193587,46,rock
64ExBAzxQRVdiPGIaz1WE9,marcello viotti,1101,33,classical
6WaMuARAGiPk6KtKgwGV3D,"brian ""hacksaw"" williams",3295,19,folk
1gkcZQArk5rV8uBwG8y5FX,amy adams,35367,48,classical
6kACVPfCOnqzgfEF5ryl0x,johnny cash,6974372,75,country
2VYQTNDsvvKN9wmU5W7xpj,marilyn manson,5023069,73,rock
1i0UobirqiiWT0AbrkZKrs,team dresch,25157,26,rock
36nWYFJVxfbpEenzbQRPZr,黃小楨,17440,21,rock
6S0GHTqz5sxK5f9HtLXn9q,garbage,1343796,61,rock
1vfezMIyCr4XUdYRaKIKi3,keyshia cole,4388545,72,r&b
4jWGfUCFeTu5e0wprRhHXR,big tymers,690612,54,hip-hop
55Aa2cqylxrFIXC767Z865,lil wayne,18306984,88,hip-hop
3H7Ez7cwaYw4L3ELy4v3Lc,håkan hellström,319594,59,pop
2iojnBLj0qIMiKPvVhLnsH,trey songz,7781659,72,r&b
2MPHBxznH1fj59jbOWY38u,sudan archives,283879,53,pop
0EhgpjUqiIIQhM6ZRF4kXX,pat green,155993,45,country
